Institution,Tier
Institution Name,Tier
"National Institute of Technical Teachers' Training and Research, Bhopal",Tier2
"National Institute of Technical Teachers' Training and Research, Chandigarh",Tier2
"National Institute of Technical Teachers' Training and Research, Chennai",Tier2
"National Institute of Technical Teachers' Training and Research,Kolkata",Tier2
National Institute of Technology Agartala (NITA),Tier2
"National Institute of Technology, Aizawal",Tier2
National Institute of Technology Andhra Pradesh,Tier2
"National Institute of Technology, Arunachal Pradesh",Tier2
"National Institute of Technology, Calicut (NITC)",Tier2
National Institute of Technology Delhi (NITD),Tier2
"National Institute of Technology, Dimapur",Tier2
"National Institute of Technology, Durgapur (NITDGP)",Tier2
National Institute of Technology Goa (NITG),Tier2
"National Institute of Technology, Hamirpur (NITH)",Tier2
"National Institute of Technology, Imphal",Tier2
"National Institute of Technology, Jamshedpur (NITJSR)",Tier2
"National Institute of Technology, Kurukshetra ( NITKKR)",Tier2
"National Institute of Technology, Mindi",Tier2
"National Institute of Technology, Papum Pare",Tier2
National Institute of Technology Patna (NITP),Tier2
"National Institute of Technology, Puducherry (NITPY)",Tier2
"National Institute of Technology, Raipur (NITRR)",Tier2
"National Institute of Technology, Ravangla",Tier2
"National Institute of Technology, Shillong",Tier2
"National Institute of Technology, Silchar (NITS)",Tier2
"National Institute of Technology, Srinagar (NITSRI)",Tier2
"National Institute of Technology, Surathkal",Tier2
"National Institute of Technology, Tiruchirappalli (NITT)",Tier2
"National Institute of Technology, Warangal",Tier2
Navsari Agricultural University,Tier2
Nizam's Institute of Medical Sciences (NIMS),Tier2
Orissa University of Agriculture and Technology (OUAT),Tier2
"Pandit Dwarka Prasad Mishra Indian Institutie of Information Technology, Design and manufacturing",Tier2
Panjab University (PU),Tier2
Postgraduate Institute of Medical Education and Research (PGIMER),Tier2
Punjab Agricultural University (PAU),Tier2
Punjabi University,Tier2
Patna University,Tier2
Periyar Maniammai Institute of Science and Technology,Tier2
Ponnaiyah Ramajayam Institute of Science and Technology (PRIST),Tier2
"Punjab Engineering College (Deemed To Be University), Chandigarh",Tier2
"Rajasthan Agricultural University, Bikaner",Tier2
Rajiv Gandhi National Aviation University (RGNAU),Tier2
"Rajiv Gandhi University of Health Sciences, Karnataka (RGUHS)",Tier2
Rajiv Gandhi University (RGU),Tier2
Ranchi University (RU),Tier2
Rani Durgavati Vishwavidyalaya,Tier2
Rani Lakshmi Bai Central Agricultural University,Tier2
"Rashtriya Sanskrit Sansthana, New Delhi",Tier2
"Sam Higginbottom University of Agriculture, Technology and Sciences (SHUATS)",Tier2
Sampurnanand Sanskrit Vishwavidyalaya,Tier2
Sardar Vallabhbhai National Institute of Technology (SVNIT) Surat,Tier2
Saurashtra University,Tier2
"School of Planning and Architecture, Bhopal (SPAB)",Tier2
School of Planning and Architecture Delhi (SPA New Delhi),Tier2
"School of Planning and Architecture, Vijayawada (SPA Vijayawada)",Tier2
Sree Sankaracharya University of Sanskrit (SSUS),Tier2
Sri Sathya Sai Institute of Higher Learning,Tier2
Swami Ramanand Teerth Marathwada University (SRTMU),Tier2
Sanjay Gandhi Postgraduate Institute of Medical Sciences,Tier2
Sant Longowal Institute of Engineering and Technology (SLIET),Tier2
"Santosh University, Ghaziabad",Tier2
Sardarkrushinagar Dantiwada Agricultural University (SDAU),Tier2
Sharda University,Tier2
"Shoolini University of Biotechnology and Management Sciences, Solan",Tier2
Shri Jagannath Sanskrit Vishvavidyalaya,Tier2
Sikkim Manipal University,Tier2
Sikkim University,Tier2
Solapur University,Tier2
S.P. Jain Institute of Management and Research,Tier2
Sri Devaraj Urs Academy of Higher Education and Research,Tier2
Sri Krishnadevaraya University,Tier2
Sri Venkateswara Institute of Medical Sciences (SVIMS),Tier2
